,Entry_Datetime,ATM_Strike,Days_to_Expiry,CE_Symbol,CE_Entry_Price,CE_Exit_Price,CE_Exit_Datetime,PE_Symbol,PE_Entry_Price,PE_Exit_Price,PE_Exit_Datetime,PnL
76,2019-05-06 09:20:00,29700,3,29700_CE,197.6,218.0,2019-05-06 14:30:00,29700_PE,231.9,210.55,2019-05-06 14:30:00,0.9499999999999886
77,2019-05-07 09:20:00,29900,2,29900_CE,141.15,64.85,2019-05-07 14:30:00,29900_PE,247.6,323.15,2019-05-07 14:01:00,0.7500000000000284
78,2019-05-08 09:20:00,29300,1,29300_CE,141.1,79.9,2019-05-08 14:30:00,29300_PE,206.65,196.45,2019-05-08 14:30:00,71.4
79,2019-05-09 09:20:00,29000,0,29000_CE,59.25,77.25,2019-05-09 10:46:00,29000_PE,135.0,190.0,2019-05-09 13:53:00,-73.0
80,2019-05-10 09:20:00,29100,6,29100_CE,273.95,279.5,2019-05-10 14:30:00,29100_PE,293.5,383.55,2019-05-10 09:58:00,-95.60000000000002
81,2019-05-13 09:20:00,29000,3,29000_CE,252.0,189.85,2019-05-13 14:30:00,29000_PE,282.4,271.0,2019-05-13 14:30:00,73.54999999999998
82,2019-05-14 09:20:00,28700,2,28700_CE,216.25,292.1,2019-05-14 13:19:00,28700_PE,245.5,78.0,2019-05-14 14:30:00,91.64999999999998
83,2019-05-15 09:20:00,29000,1,29000_CE,146.55,63.4,2019-05-15 14:30:00,29000_PE,174.15,250.35,2019-05-15 12:46:00,6.950000000000017
84,2019-05-16 09:20:00,28600,0,28600_CE,91.6,123.3,2019-05-16 14:07:00,28600_PE,99.15,8.7,2019-05-16 14:30:00,58.75
85,2019-05-17 09:20:00,29000,6,29000_CE,668.15,875.3,2019-05-17 13:51:00,29000_PE,737.5,635.3,2019-05-17 14:30:00,-104.94999999999993
86,2019-05-20 09:20:00,30200,3,30200_CE,616.55,813.65,2019-05-20 12:38:00,30200_PE,638.45,485.35,2019-05-20 14:30:00,-44.0
87,2019-05-21 09:20:00,30900,2,30900_CE,600.1,394.0,2019-05-21 14:30:00,30900_PE,574.5,759.0,2019-05-21 12:43:00,21.600000000000023
88,2019-05-22 09:20:00,30400,1,30400_CE,627.75,817.25,2019-05-22 14:10:00,30400_PE,600.5,578.75,2019-05-22 14:30:00,-167.75
89,2019-05-23 09:20:00,31200,0,31200_CE,411.95,542.3,2019-05-23 10:44:00,31200_PE,401.0,378.85,2019-05-23 14:30:00,-108.19999999999999
90,2019-05-24 09:20:00,30800,6,30800_CE,280.95,378.7,2019-05-24 12:53:00,30800_PE,305.0,399.95,2019-05-24 09:34:00,-192.7
91,2019-05-27 09:20:00,31300,3,31300_CE,243.15,323.75,2019-05-27 09:31:00,31300_PE,283.0,161.95,2019-05-27 14:30:00,40.45000000000002
92,2019-05-28 09:20:00,31700,2,31700_CE,205.9,66.0,2019-05-28 14:30:00,31700_PE,238.8,312.55,2019-05-28 09:38:00,66.15
93,2019-05-29 09:20:00,31500,1,31500_CE,172.0,89.0,2019-05-29 14:30:00,31500_PE,146.6,196.4,2019-05-29 10:21:00,33.19999999999999
94,2019-05-30 09:20:00,31300,0,31300_CE,102.5,137.95,2019-05-30 09:56:00,31300_PE,83.45,5.8,2019-05-30 14:30:00,42.20000000000002
95,2019-05-31 09:20:00,31700,6,31700_CE,272.95,95.45,2019-05-31 14:30:00,31700_PE,301.75,409.4,2019-05-31 11:55:00,69.85000000000002
